sample_id,label,stage,reason,detail
POS_0013,1,metadata,nature_not_tropical,nature=NR
POS_0014,1,metadata,nature_not_tropical,nature=NR
POS_0015,1,metadata,nature_not_tropical,nature=NR
POS_0016,1,metadata,nature_not_tropical,nature=NR
POS_0028,1,metadata,nature_not_tropical,nature=NR
POS_0036,1,metadata,nature_not_tropical,nature=NR
POS_0045,1,metadata,nature_not_tropical,nature=NR
POS_0052,1,metadata,nature_not_tropical,nature=ET
POS_0055,1,metadata,nature_not_tropical,nature=ET
POS_0056,1,metadata,nature_not_tropical,nature=ET
POS_0061,1,metadata,nature_not_tropical,nature=NR
POS_0065,1,metadata,nature_not_tropical,nature=NR
POS_0069,1,metadata,nature_not_tropical,nature=NR
POS_0070,1,metadata,nature_not_tropical,nature=NR
POS_0071,1,metadata,nature_not_tropical,nature=NR
POS_0076,1,metadata,nature_not_tropical,nature=DS
POS_0096,1,metadata,nature_not_tropical,nature=ET
POS_0097,1,metadata,nature_not_tropical,nature=ET
POS_0136,1,metadata,nature_not_tropical,nature=ET
POS_0139,1,metadata,nature_not_tropical,nature=NR
POS_0140,1,metadata,nature_not_tropical,nature=NR
POS_0141,1,metadata,nature_not_tropical,nature=NR
POS_0143,1,metadata,nature_not_tropical,nature=NR
POS_0178,1,metadata,nature_not_tropical,nature=MX
POS_0181,1,metadata,nature_not_tropical,nature=DS
POS_0198,1,metadata,nature_not_tropical,nature=ET
POS_0225,1,metadata,nature_not_tropical,nature=DS
POS_0226,1,metadata,nature_not_tropical,nature=DS
POS_0227,1,metadata,nature_not_tropical,nature=DS
POS_0243,1,metadata,nature_not_tropical,nature=DS
POS_0244,1,metadata,nature_not_tropical,nature=NR
POS_0248,1,metadata,nature_not_tropical,nature=MX
POS_0276,1,metadata,nature_not_tropical,nature=ET
POS_0309,1,metadata,nature_not_tropical,nature=ET
POS_0329,1,metadata,nature_not_tropical,nature=ET
POS_0330,1,metadata,nature_not_tropical,nature=NR
POS_0348,1,metadata,nature_not_tropical,nature=NR
POS_0355,1,metadata,nature_not_tropical,nature=ET
POS_0379,1,metadata,nature_not_tropical,nature=DS
POS_0385,1,metadata,nature_not_tropical,nature=DS
POS_0392,1,metadata,nature_not_tropical,nature=MX
POS_0415,1,metadata,nature_not_tropical,nature=MX
POS_0416,1,metadata,nature_not_tropical,nature=NR
POS_0417,1,metadata,nature_not_tropical,nature=NR
POS_0418,1,metadata,nature_not_tropical,nature=NR
POS_0419,1,metadata,nature_not_tropical,nature=NR
POS_0420,1,metadata,nature_not_tropical,nature=NR
POS_0421,1,metadata,nature_not_tropical,nature=NR
POS_0446,1,metadata,nature_not_tropical,nature=DS
POS_0465,1,metadata,nature_not_tropical,nature=ET
POS_0466,1,metadata,nature_not_tropical,nature=ET
POS_0469,1,metadata,nature_not_tropical,nature=DS
POS_0471,1,metadata,nature_not_tropical,nature=DS
POS_0472,1,metadata,nature_not_tropical,nature=DS
POS_0481,1,metadata,nature_not_tropical,nature=DS
POS_0482,1,metadata,nature_not_tropical,nature=DS
POS_0493,1,metadata,nature_not_tropical,nature=DS
POS_0494,1,metadata,nature_not_tropical,nature=DS
POS_0518,1,metadata,nature_not_tropical,nature=DS
POS_0526,1,metadata,nature_not_tropical,nature=DS
POS_0527,1,metadata,nature_not_tropical,nature=NR
