sample_id,label,class_code,class_name,storm_id,name,basin,subbasin,region,subregion,timestamp,latitude,longitude,nature,usa_wind_kt,imd_category_of_usa_wind,wmo_wind_kt,wmo_agency,usa_sshs,dataset_a_wind_kt,in_dataset_a
CLS_00001,0,D-DD,Depression / Deep Depression,1999343S09095,ILSA,SI,WA,south_indian_ocean,,1999-12-10T12:00:00Z,-9.8,98.4,TS,25.0,D,30.0,bom,-1,30.0,True
CLS_00002,0,D-DD,Depression / Deep Depression,1999343S11123,JOHN,SI,WA,south_indian_ocean,,1999-12-11T15:00:00Z,-13.4,119.8,TS,30.0,DD,,,-1,30.0,True
CLS_00003,0,D-DD,Depression / Deep Depression,1999357S08076,ASTRIDE,SI,MM,south_indian_ocean,,2000-01-02T00:00:00Z,-12.7,45.8,TS,25.0,D,33.0,reunion,-1,33.0,True
CLS_00004,0,D-DD,Depression / Deep Depression,2000006S15164,IRIS,SP,MM,pacific_ocean,southern_pacific,2000-01-07T03:00:00Z,-15.7,164.3,TS,25.0,D,,,-1,25.0,True
CLS_00005,0,D-DD,Depression / Deep Depression,2000019S11127,UNNAMED,SI,WA,south_indian_ocean,,2000-01-18T21:00:00Z,-11.3,126.5,TS,25.0,D,,,-1,25.0,True
CLS_00006,0,D-DD,Depression / Deep Depression,2000023S15172,JO,SP,MM,pacific_ocean,southern_pacific,2000-01-23T06:00:00Z,-15.0,172.2,TS,25.0,D,25.0,nadi,-1,25.0,True
CLS_00007,0,D-DD,Depression / Deep Depression,2000024S12100,KIRRILY,SI,WA,south_indian_ocean,,2000-01-25T12:00:00Z,-12.9,106.2,TS,25.0,D,25.0,bom,-1,25.0,True
CLS_00008,0,D-DD,Depression / Deep Depression,2000025S15056,CONNIE,SI,MM,south_indian_ocean,,2000-01-25T15:00:00Z,-14.9,55.6,TS,30.0,DD,,,-1,30.0,True
CLS_00009,0,D-DD,Depression / Deep Depression,2000023S15172,JO,SP,MM,pacific_ocean,southern_pacific,2000-01-28T06:00:00Z,-33.3,197.2,TS,25.0,D,55.0,wellington,-1,55.0,True
CLS_00010,0,D-DD,Depression / Deep Depression,2000031S11074,DAMIENNE,SI,MM,south_indian_ocean,,2000-02-02T21:00:00Z,-17.5,75.2,TS,25.0,D,,,-1,25.0,True
CLS_00011,0,D-DD,Depression / Deep Depression,2000032S11116,ELINE:LEONE,SI,WA,south_indian_ocean,,2000-02-03T15:00:00Z,-11.7,108.3,TS,25.0,D,,,-1,25.0,True
CLS_00012,0,D-DD,Depression / Deep Depression,2000050S13078,FELICIA,SI,MM,south_indian_ocean,,2000-02-19T00:00:00Z,-13.8,77.6,TS,25.0,D,20.0,reunion,-1,20.0,True
CLS_00013,0,D-DD,Depression / Deep Depression,2000055S23227,KIM,SP,MM,pacific_ocean,southern_pacific,2000-02-24T06:00:00Z,-23.2,-134.8,TS,30.0,DD,25.0,nadi,-1,25.0,True
