sample_id,image_path,gridsat_slot,time_offset_h,missing_fraction,bt_mean_k,bt_min_k,cold_cloud_fraction,central_cold_cloud_fraction,pixel_sha256,dhash,label,class_code,class_name,storm_id,name,basin,subbasin,region,subregion,timestamp,latitude,longitude,nature,usa_wind_kt,imd_category_of_usa_wind,wmo_wind_kt,wmo_agency,usa_sshs,dataset_a_wind_kt,in_dataset_a
CLS_00001,data/processed/classification/D-DD/CLS_00001.png,1999-12-10T12:00:00Z,0.0,0.0,260.07,188.96,0.20621,0.37391,dccdd574f37a571c50b6ba362d9d87c55f1a2c2fcecc5ce60966aee3efcdc572,e4faccece0d20899,0,D-DD,Depression / Deep Depression,1999343S09095,ILSA,SI,WA,south_indian_ocean,,1999-12-10T12:00:00Z,-9.8,98.4,TS,25.0,D,30.0,bom,-1,30.0,True
CLS_00002,data/processed/classification/D-DD/CLS_00002.png,1999-12-11T15:00:00Z,0.0,0.0,255.67,179.23,0.24111,0.52331,27a6a02c18bd9a139a10ccc710e42df55363749e779d0cc59320341b73888552,b6582c6070bcfdf4,0,D-DD,Depression / Deep Depression,1999343S11123,JOHN,SI,WA,south_indian_ocean,,1999-12-11T15:00:00Z,-13.4,119.8,TS,30.0,DD,,,-1,30.0,True
CLS_00003,data/processed/classification/D-DD/CLS_00003.png,2000-01-02T00:00:00Z,0.0,0.0,280.78,196.32,0.06233,0.08053,ef62ea85f3547595682279e095346e56a4ba6964ceb7d27b24f01f0ee5afe144,315bcf7776e0e15a,0,D-DD,Depression / Deep Depression,1999357S08076,ASTRIDE,SI,MM,south_indian_ocean,,2000-01-02T00:00:00Z,-12.7,45.8,TS,25.0,D,33.0,reunion,-1,33.0,True
CLS_00004,data/processed/classification/D-DD/CLS_00004.png,2000-01-07T03:00:00Z,0.0,0.0,271.53,191.68,0.12097,0.25089,ccb84bee06d7f596a0691e5398705f9cab6229fa56b6add2fabf3bdb4d78d04e,f3f3a173503cc12b,0,D-DD,Depression / Deep Depression,2000006S15164,IRIS,SP,MM,pacific_ocean,southern_pacific,2000-01-07T03:00:00Z,-15.7,164.3,TS,25.0,D,,,-1,25.0,True
CLS_00005,data/processed/classification/D-DD/CLS_00005.png,2000-01-18T21:00:00Z,0.0,0.0,261.72,181.96,0.23467,0.45988,46bd07b6e60eb413062a86a61e5e0a7ffb9c6561725fddf2a42acfcca349592f,433383e1c0c192c1,0,D-DD,Depression / Deep Depression,2000019S11127,UNNAMED,SI,WA,south_indian_ocean,,2000-01-18T21:00:00Z,-11.3,126.5,TS,25.0,D,,,-1,25.0,True
CLS_00006,data/processed/classification/D-DD/CLS_00006.png,2000-01-23T06:00:00Z,0.0,0.0,252.94,185.0,0.33035,0.70976,ecc6fc83bb1b03906ac5871023a151db44395d7daf96085b3917f54f138ecf87,8cc26170f47c3a9b,0,D-DD,Depression / Deep Depression,2000023S15172,JO,SP,MM,pacific_ocean,southern_pacific,2000-01-23T06:00:00Z,-15.0,172.2,TS,25.0,D,25.0,nadi,-1,25.0,True
CLS_00007,data/processed/classification/D-DD/CLS_00007.png,2000-01-25T12:00:00Z,0.0,0.0,262.5,184.81,0.24435,0.27331,3389e850de7e1f057d0cdca6633b96cb7e721518e5774c37ffe2b76fa77e1e8f,a1986cefec5880d1,0,D-DD,Depression / Deep Depression,2000024S12100,KIRRILY,SI,WA,south_indian_ocean,,2000-01-25T12:00:00Z,-12.9,106.2,TS,25.0,D,25.0,bom,-1,25.0,True
CLS_00008,data/processed/classification/D-DD/CLS_00008.png,2000-01-25T15:00:00Z,0.0,0.0,261.21,191.42,0.21659,0.51746,f0ec7237576506f0b0d64fc5ffb0c139424e5ff2b396da51f370ff8a2bd954e2,6539f4b839383438,0,D-DD,Depression / Deep Depression,2000025S15056,CONNIE,SI,MM,south_indian_ocean,,2000-01-25T15:00:00Z,-14.9,55.6,TS,30.0,DD,,,-1,30.0,True
CLS_00009,data/processed/classification/D-DD/CLS_00009.png,2000-01-28T06:00:00Z,0.0,0.0,267.88,207.79,0.05356,0.1474,1031ce5486fadbc49ac1e9d58afd0d87ab9b2d360be17159daee608bc4f396b7,ff3f0fb9b1797434,0,D-DD,Depression / Deep Depression,2000023S15172,JO,SP,MM,pacific_ocean,southern_pacific,2000-01-28T06:00:00Z,-33.3,197.2,TS,25.0,D,55.0,wellington,-1,55.0,True
CLS_00010,data/processed/classification/D-DD/CLS_00010.png,2000-02-02T21:00:00Z,0.0,0.0,282.05,196.25,0.02697,0.02686,84a5ad757a0c698cf0894351a90c887a6373a4cb378cc51c937f356d61fc70c3,a39f96e6a4f2f834,0,D-DD,Depression / Deep Depression,2000031S11074,DAMIENNE,SI,MM,south_indian_ocean,,2000-02-02T21:00:00Z,-17.5,75.2,TS,25.0,D,,,-1,25.0,True
