sample_id,label,reason,detail
CLS_00377,0,missing_data_exceeds_limit,0.033
CLS_00379,0,missing_data_exceeds_limit,0.026
CLS_00389,0,missing_data_exceeds_limit,0.025
CLS_00431,0,missing_data_exceeds_limit,0.035
CLS_00459,0,missing_data_exceeds_limit,0.021
CLS_00464,0,missing_data_exceeds_limit,0.037
CLS_00474,0,missing_data_exceeds_limit,0.035
CLS_00475,0,missing_data_exceeds_limit,0.040
CLS_00493,0,missing_data_exceeds_limit,0.128
CLS_00500,0,missing_data_exceeds_limit,0.021
CLS_00507,0,missing_data_exceeds_limit,0.030
CLS_00535,0,missing_data_exceeds_limit,0.025
CLS_00541,0,missing_data_exceeds_limit,0.033
CLS_00557,0,missing_data_exceeds_limit,0.021
CLS_00571,0,missing_data_exceeds_limit,0.038
CLS_00599,0,missing_data_exceeds_limit,0.023
CLS_00602,0,missing_data_exceeds_limit,0.036
CLS_00603,0,missing_data_exceeds_limit,0.023
CLS_00619,0,missing_data_exceeds_limit,0.022
CLS_00622,0,missing_data_exceeds_limit,0.021
CLS_00709,0,missing_data_exceeds_limit,0.028
CLS_00719,0,missing_data_exceeds_limit,0.024
CLS_00789,0,missing_data_exceeds_limit,0.053
CLS_00813,0,missing_data_exceeds_limit,0.032
CLS_00818,0,missing_data_exceeds_limit,0.023
CLS_00839,0,missing_data_exceeds_limit,0.030
CLS_00864,0,missing_data_exceeds_limit,0.060
CLS_01473,1,missing_data_exceeds_limit,0.063
CLS_01753,1,missing_data_exceeds_limit,0.022
CLS_01770,1,missing_data_exceeds_limit,0.024
CLS_01782,1,missing_data_exceeds_limit,0.083
CLS_01783,1,missing_data_exceeds_limit,0.047
CLS_01798,1,missing_data_exceeds_limit,0.045
CLS_01807,1,missing_data_exceeds_limit,0.025
CLS_01834,1,missing_data_exceeds_limit,1.000
CLS_01848,1,missing_data_exceeds_limit,0.057
CLS_01868,1,missing_data_exceeds_limit,0.029
CLS_01887,1,missing_data_exceeds_limit,0.052
CLS_01893,1,missing_data_exceeds_limit,0.023
CLS_01916,1,missing_data_exceeds_limit,0.040
CLS_01933,1,missing_data_exceeds_limit,0.046
CLS_01965,1,missing_data_exceeds_limit,0.025
CLS_01975,1,missing_data_exceeds_limit,0.024
CLS_01976,1,missing_data_exceeds_limit,0.023
CLS_02036,1,missing_data_exceeds_limit,0.029
CLS_02066,1,missing_data_exceeds_limit,0.041
CLS_02084,1,missing_data_exceeds_limit,0.146
CLS_02158,1,missing_data_exceeds_limit,0.030
CLS_02184,1,missing_data_exceeds_limit,0.028
CLS_02218,1,missing_data_exceeds_limit,0.024
CLS_02781,1,missing_data_exceeds_limit,0.082
CLS_02815,2,missing_data_exceeds_limit,0.734
CLS_03134,2,missing_data_exceeds_limit,0.024
CLS_03146,2,missing_data_exceeds_limit,0.021
CLS_03168,2,missing_data_exceeds_limit,0.043
CLS_03199,2,missing_data_exceeds_limit,0.038
CLS_03207,2,missing_data_exceeds_limit,0.022
CLS_03249,2,missing_data_exceeds_limit,0.025
CLS_03278,2,missing_data_exceeds_limit,0.022
CLS_03310,2,missing_data_exceeds_limit,0.042
CLS_03361,2,missing_data_exceeds_limit,0.028
CLS_03373,2,missing_data_exceeds_limit,0.035
CLS_03405,2,missing_data_exceeds_limit,0.022
CLS_03511,2,missing_data_exceeds_limit,0.024
CLS_03545,2,missing_data_exceeds_limit,0.022
CLS_03548,2,missing_data_exceeds_limit,0.052
CLS_03563,2,missing_data_exceeds_limit,1.000
CLS_03569,2,missing_data_exceeds_limit,0.027
CLS_03573,2,missing_data_exceeds_limit,0.027
CLS_03647,2,missing_data_exceeds_limit,0.059
CLS_03873,2,missing_data_exceeds_limit,0.361
CLS_04571,3,missing_data_exceeds_limit,0.027
CLS_04643,3,missing_data_exceeds_limit,0.027
CLS_04657,3,missing_data_exceeds_limit,0.033
CLS_04659,3,missing_data_exceeds_limit,0.027
CLS_04675,3,missing_data_exceeds_limit,0.798
CLS_04703,3,missing_data_exceeds_limit,0.038
CLS_04726,3,missing_data_exceeds_limit,0.023
CLS_04750,3,missing_data_exceeds_limit,0.078
CLS_04751,3,missing_data_exceeds_limit,0.025
CLS_04752,3,missing_data_exceeds_limit,0.024
CLS_04781,3,missing_data_exceeds_limit,0.054
CLS_04900,3,failed,"failed after 5 attempts: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
CLS_04901,3,failed,"failed after 5 attempts: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
CLS_04902,3,failed,"failed after 5 attempts: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
CLS_04903,3,failed,"failed after 5 attempts: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
CLS_04904,3,failed,"failed after 5 attempts: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
CLS_04905,3,failed,"failed after 5 attempts: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
CLS_04906,3,failed,"failed after 5 attempts: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
CLS_04907,3,failed,"failed after 5 attempts: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
CLS_04908,3,failed,"failed after 5 attempts: HTTPSConnectionPool(host='www.ncei.noaa.gov', port=443): Max retries exceeded with url: /thredds/dodsC/cdr/gridsat/2012/GRIDSAT-B1.2012"
CLS_04909,3,failed,"failed after 5 attempts: HTTPSConnectionPool(host='www.ncei.noaa.gov', port=443): Max retries exceeded with url: /thredds/dodsC/cdr/gridsat/2012/GRIDSAT-B1.2012"
CLS_04910,3,failed,"failed after 5 attempts: HTTPSConnectionPool(host='www.ncei.noaa.gov', port=443): Max retries exceeded with url: /thredds/dodsC/cdr/gridsat/2012/GRIDSAT-B1.2012"
CLS_04911,3,failed,"failed after 5 attempts: HTTPSConnectionPool(host='www.ncei.noaa.gov', port=443): Max retries exceeded with url: /thredds/dodsC/cdr/gridsat/2013/GRIDSAT-B1.2013"
CLS_04912,3,failed,"failed after 5 attempts: HTTPSConnectionPool(host='www.ncei.noaa.gov', port=443): Max retries exceeded with url: /thredds/dodsC/cdr/gridsat/2013/GRIDSAT-B1.2013"
CLS_04913,3,failed,"failed after 5 attempts: HTTPSConnectionPool(host='www.ncei.noaa.gov', port=443): Max retries exceeded with url: /thredds/dodsC/cdr/gridsat/2013/GRIDSAT-B1.2013"
CLS_04914,3,failed,"failed after 5 attempts: HTTPSConnectionPool(host='www.ncei.noaa.gov', port=443): Max retries exceeded with url: /thredds/dodsC/cdr/gridsat/2013/GRIDSAT-B1.2013"
CLS_04915,3,failed,"failed after 5 attempts: HTTPSConnectionPool(host='www.ncei.noaa.gov', port=443): Max retries exceeded with url: /thredds/dodsC/cdr/gridsat/2013/GRIDSAT-B1.2013"
CLS_04916,3,failed,failed after 5 attempts: 503 Server Error: Service Unavailable for url: https://www.ncei.noaa.gov/thredds/dodsC/cdr/gridsat/2013/GRIDSAT-B1.2013.01.30.21.v02r01
CLS_04917,3,failed,failed after 5 attempts: 503 Server Error: Service Unavailable for url: https://www.ncei.noaa.gov/thredds/dodsC/cdr/gridsat/2013/GRIDSAT-B1.2013.02.14.03.v02r01
CLS_04918,3,failed,failed after 5 attempts: 503 Server Error: Service Unavailable for url: https://www.ncei.noaa.gov/thredds/dodsC/cdr/gridsat/2013/GRIDSAT-B1.2013.02.21.00.v02r01
CLS_04919,3,failed,failed after 5 attempts: 503 Server Error: Service Unavailable for url: https://www.ncei.noaa.gov/thredds/dodsC/cdr/gridsat/2013/GRIDSAT-B1.2013.02.21.21.v02r01
