sample_id,label,stage,reason,detail
POS_0486,1,image,missing_data_exceeds_limit,0.024
POS_0754,1,image,missing_data_exceeds_limit,0.047
POS_0769,1,image,missing_data_exceeds_limit,0.025
POS_0835,1,image,missing_data_exceeds_limit,0.032
POS_0881,1,image,missing_data_exceeds_limit,0.021
POS_0883,1,image,missing_data_exceeds_limit,0.022
POS_0923,1,image,missing_data_exceeds_limit,0.066
POS_0928,1,image,missing_data_exceeds_limit,0.037
POS_0951,1,image,missing_data_exceeds_limit,0.037
POS_1017,1,image,missing_data_exceeds_limit,0.023
POS_1024,1,image,missing_data_exceeds_limit,0.032
POS_1030,1,image,missing_data_exceeds_limit,0.061
POS_1135,1,image,missing_data_exceeds_limit,0.021
POS_1212,1,image,missing_data_exceeds_limit,0.043
POS_1332,1,image,missing_data_exceeds_limit,0.020
POS_1413,1,image,missing_data_exceeds_limit,0.026
POS_1415,1,image,missing_data_exceeds_limit,0.020
POS_1494,1,image,missing_data_exceeds_limit,0.029
POS_1497,1,image,missing_data_exceeds_limit,0.031
PRS_0040,1,image,missing_data_exceeds_limit,0.059
PRS_0077,1,image,missing_data_exceeds_limit,0.032
PRS_0223,1,image,gridsat_file_missing,HTTP 404 https://www.ncei.noaa.gov/thredds/dodsC/cdr/gridsat/2026/GRIDSAT-B1.2026.09.01.15.v02r01.nc.dods?irwin_cdr.irwin_cdr[0][1087:1:1345][888:1:1146]
PRS_0287,1,image,missing_data_exceeds_limit,0.027
PRS_0288,1,image,missing_data_exceeds_limit,0.029
PRS_0294,1,image,missing_data_exceeds_limit,0.029
PRS_0448,1,image,missing_data_exceeds_limit,0.031
PRS_0597,1,image,missing_data_exceeds_limit,0.023
NONCYCLONE_00788,0,image,missing_data_exceeds_limit,0.027
NONCYCLONE_00790,0,image,missing_data_exceeds_limit,0.071
NONCYCLONE_00801,0,image,missing_data_exceeds_limit,1.000
NONCYCLONE_00975,0,image,missing_data_exceeds_limit,1.000
NONCYCLONE_01585,0,image,missing_data_exceeds_limit,0.022
NONCYCLONE_02574,0,image,missing_data_exceeds_limit,0.027
NONCYCLONE_02712,0,image,missing_data_exceeds_limit,0.036
NONCYCLONE_03044,0,image,missing_data_exceeds_limit,0.170
NONCYCLONE_03305,0,image,missing_data_exceeds_limit,0.236
NONCYCLONE_03888,0,image,missing_data_exceeds_limit,1.000
