SAMPLE_ID,nearest_system_deg,nearest_system_nature,nearest_system_sid,nearest_ds_ts_mx_deg,systems_in_crop,natures_in_crop
NONCYCLONE_00001,19.29306255230073,TS,2020327N08086,19.29306255230073,0,
NONCYCLONE_00002,23.394227559930997,TS,2005017S09061,23.394227559930997,0,
NONCYCLONE_00003,15.845081182212446,TS,2023132S03090,15.845081182212446,0,
NONCYCLONE_00004,21.730842622069478,DS,2008290S05071,21.730842622069478,0,
NONCYCLONE_00005,12.406361281663054,TS,2015191N23085,12.406361281663054,0,
NONCYCLONE_00006,41.19797955304266,TS,2001361N01106,41.19797955304266,0,
NONCYCLONE_00007,40.73359946380268,DS,2021143N15090,40.73359946380268,0,
NONCYCLONE_00008,24.97444064276946,TS,2016295N13089,24.97444064276946,0,
NONCYCLONE_00009,20.848950571942236,TS,2016341N08092,20.848950571942236,0,
NONCYCLONE_00010,29.57433300841946,MX,2020353N06129,29.57433300841946,0,
NONCYCLONE_00011,18.31064614532908,MX,2017333N06082,18.31064614532908,0,
NONCYCLONE_00012,15.731720701604901,TS,2005255N20088,15.731720701604901,0,
NONCYCLONE_00013,34.65559173564557,TS,2023156N10067,34.65559173564557,0,
NONCYCLONE_00014,41.336883529083956,TS,2006247N21089,41.336883529083956,0,
NONCYCLONE_00015,36.20755518476684,TS,2000088N08090,36.20755518476684,0,
NONCYCLONE_00016,21.51121070886146,DS,2011290N15090,21.51121070886146,0,
NONCYCLONE_00017,25.118686091428586,TS,2000236N17084,25.118686091428586,0,
NONCYCLONE_00018,25.61641489126035,TS,2003279N17084,25.61641489126035,0,
NONCYCLONE_00019,19.328586629555573,TS,2016341N08092,19.328586629555573,0,
NONCYCLONE_00020,18.677864876483124,TS,2019264N19071,18.677864876483124,0,
NONCYCLONE_00021,12.073357690889114,TS,2017319N15083,12.073357690889114,0,
NONCYCLONE_00022,24.802740217280355,TS,2003129N05091,24.802740217280355,0,
NONCYCLONE_00023,13.786282060785272,MX,2018314N12093,13.786282060785272,0,
NONCYCLONE_00024,29.020532527621707,DS,2011290N15090,29.020532527621707,0,
NONCYCLONE_00025,21.791933673154865,TS,2015157N13069,21.791933673154865,0,
NONCYCLONE_00026,11.516233111342972,TS,2019296N15066,11.516233111342972,0,
NONCYCLONE_00027,21.02010084867654,TS,2000331N09092,21.02010084867654,0,
NONCYCLONE_00028,6.667985691329491,TS,2006329N06150,6.667985691329491,1,TS
NONCYCLONE_00029,22.48555521499908,TS,2002355N04077,22.48555521499908,0,
NONCYCLONE_00030,21.844649248257564,TS,2005172N22069,21.844649248257564,0,
NONCYCLONE_00031,12.913011688937575,TS,2022230N18095,12.913011688937575,0,
NONCYCLONE_00032,14.779281096950566,TS,2022347N12074,14.779281096950566,0,
NONCYCLONE_00033,26.326055971323814,TS,2015157N13069,26.326055971323814,0,
NONCYCLONE_00034,26.86618893643556,TS,2006224N21088,26.86618893643556,0,
NONCYCLONE_00035,31.673736091489047,MX,2013128S05086,31.673736091489047,0,
NONCYCLONE_00036,33.53304118501768,TS,2018202N21088,33.53304118501768,0,
NONCYCLONE_00037,31.44770149586866,TS,2012297N11067,31.44770149586866,0,
NONCYCLONE_00038,14.13248957419379,DS,2009247N19089,14.13248957419379,0,
