image,image_id,true_class,predicted_class,confidence,p_D-DD,p_CS-SCS,p_VSCS,p_ESCS-SuCS,error_type,usa_wind_kt,kt_from_nearest_boundary,imd_category_of_usa_wind,storm_id,name,basin,region,subregion,timestamp,wmo_wind_kt,wmo_agency,group_id
data/processed/classification/CS-SCS/CLS_02634.png,CLS-IMG02349,CS-SCS,D-DD,0.99997,0.99997,3e-05,0.0,0.0,adjacent_class,38.0,4.5,CS,2022030S14147,UNNAMED,SP,pacific_ocean,southern_pacific,2022-01-31T21:00:00Z,,,G0799
data/processed/classification/CS-SCS/CLS_01630.png,CLS-IMG01458,CS-SCS,D-DD,0.999734,0.999734,0.000266,0.0,0.0,adjacent_class,35.0,1.5,CS,2004125N11074,UNNAMED,NI,north_indian_ocean,arabian_sea,2004-05-05T18:00:00Z,35.0,newdelhi,G0167
data/processed/classification/ESCS-SuCS/CLS_04893.png,CLS-IMG04432,ESCS-SuCS,VSCS,0.999599,1e-06,4.1e-05,0.999599,0.000359,adjacent_class,90.0,0.5,ESCS,2012279N15145,PRAPIROON,WP,pacific_ocean,western_pacific,2012-10-10T12:00:00Z,80.0,tokyo,G1447
data/processed/classification/CS-SCS/CLS_01765.png,CLS-IMG01583,CS-SCS,VSCS,0.999585,0.000119,0.000296,0.999585,0.0,adjacent_class,45.0,11.5,CS,2006311N16143,CHEBI,WP,pacific_ocean,western_pacific,2006-11-09T12:00:00Z,35.0,tokyo,G1005
data/processed/classification/CS-SCS/CLS_01936.png,CLS-IMG01732,CS-SCS,VSCS,0.998961,5.4e-05,0.000959,0.998961,2.6e-05,adjacent_class,60.0,3.5,SCS,2009238N20151,KROVANH,WP,pacific_ocean,western_pacific,2009-08-29T18:00:00Z,50.0,tokyo,G0354
data/processed/classification/CS-SCS/CLS_01998.png,CLS-IMG01786,CS-SCS,D-DD,0.998796,0.998796,0.001204,0.0,0.0,adjacent_class,35.0,1.5,CS,2010305N06105,JAL,NI,north_indian_ocean,bay_of_bengal,2010-11-04T15:00:00Z,,,G0392
data/processed/classification/VSCS/CLS_03339.png,CLS-IMG02975,VSCS,ESCS-SuCS,0.998705,1e-06,9e-06,0.001285,0.998705,adjacent_class,68.0,4.5,VSCS,2010069S12188,TOMAS,SP,pacific_ocean,southern_pacific,2010-03-13T15:00:00Z,,,G1423
data/processed/classification/CS-SCS/CLS_02541.png,CLS-IMG02267,CS-SCS,VSCS,0.998699,5.5e-05,0.001148,0.998699,9.7e-05,adjacent_class,63.0,0.5,SCS,2020277N21141,CHAN-HOM,WP,pacific_ocean,western_pacific,2020-10-07T03:00:00Z,,,G1234
data/processed/classification/CS-SCS/CLS_02632.png,CLS-IMG02347,CS-SCS,VSCS,0.998109,3.9e-05,0.001843,0.998109,8e-06,adjacent_class,50.0,13.5,SCS,2022020S13060,ANA,SI,south_indian_ocean,,2022-01-24T06:00:00Z,50.0,reunion,G0798
data/processed/classification/ESCS-SuCS/CLS_04240.png,CLS-IMG03790,ESCS-SuCS,VSCS,0.998013,0.000137,0.001251,0.998013,0.000599,adjacent_class,90.0,0.5,ESCS,2000205N10260,DANIEL,EP,pacific_ocean,eastern_pacific,2000-07-28T18:00:00Z,90.0,hurdat_epa,G1319
data/processed/classification/CS-SCS/CLS_02675.png,CLS-IMG02388,CS-SCS,VSCS,0.997662,2.5e-05,0.002299,0.997662,1.4e-05,adjacent_class,55.0,8.5,SCS,2022254N21158,MERBOK,WP,pacific_ocean,western_pacific,2022-09-12T18:00:00Z,55.0,tokyo,G0819
data/processed/classification/CS-SCS/CLS_02779.png,CLS-IMG02481,CS-SCS,VSCS,0.997369,5.7e-05,0.002574,0.997369,0.0,adjacent_class,45.0,11.5,CS,2024295N15092,DANA,NI,north_indian_ocean,bay_of_bengal,2024-10-23T09:00:00Z,45.0,newdelhi,G0886
data/processed/classification/ESCS-SuCS/CLS_04529.png,CLS-IMG04079,ESCS-SuCS,VSCS,0.99732,9e-06,2.9e-05,0.99732,0.002643,adjacent_class,125.0,35.5,SuCS,2005230N20144,MAWAR,WP,pacific_ocean,western_pacific,2005-08-22T06:00:00Z,90.0,tokyo,G0980
data/processed/classification/ESCS-SuCS/CLS_04611.png,CLS-IMG04160,ESCS-SuCS,VSCS,0.997069,0.000234,0.001309,0.997069,0.001388,adjacent_class,93.0,3.5,ESCS,2006311N16143,CHEBI,WP,pacific_ocean,western_pacific,2006-11-11T03:00:00Z,,,G1005
data/processed/classification/ESCS-SuCS/CLS_04299.png,CLS-IMG03849,ESCS-SuCS,VSCS,0.996984,2.7e-05,0.001576,0.996984,0.001414,adjacent_class,95.0,5.5,ESCS,2001291N05158,PODUL,WP,pacific_ocean,western_pacific,2001-10-27T03:00:00Z,,,G0070
data/processed/classification/D-DD/CLS_01011.png,CLS-IMG00892,D-DD,VSCS,0.996954,0.000289,0.002647,0.996954,0.00011,non_adjacent,30.0,3.5,DD,2018079S08137,NORA,SP,pacific_ocean,southern_pacific,2018-03-25T06:00:00Z,30.0,bom,G0652
data/processed/classification/VSCS/CLS_03190.png,CLS-IMG02841,VSCS,CS-SCS,0.996668,0.000425,0.996668,0.002896,1e-05,adjacent_class,75.0,11.5,VSCS,2007027S07069,DORA,SI,south_indian_ocean,,2007-01-31T09:00:00Z,,,G1386
data/processed/classification/CS-SCS/CLS_01468.png,CLS-IMG01313,CS-SCS,VSCS,0.996509,4.6e-05,0.00285,0.996509,0.000594,adjacent_class,40.0,6.5,CS,2001039S11139,WINSOME,SP,pacific_ocean,southern_pacific,2001-02-11T00:00:00Z,40.0,bom,G0044
data/processed/classification/ESCS-SuCS/CLS_04454.png,CLS-IMG04004,ESCS-SuCS,VSCS,0.996121,1.3e-05,0.000229,0.996121,0.003637,adjacent_class,100.0,10.5,ESCS,2004081S12103,ITSANG:ITSENG:OSCAR,SI,south_indian_ocean,,2004-03-26T18:00:00Z,85.0,bom,G0165
data/processed/classification/CS-SCS/CLS_01536.png,CLS-IMG01376,CS-SCS,D-DD,0.995613,0.995613,0.004385,2e-06,0.0,adjacent_class,35.0,1.5,CS,2002143S07157,UPIA,SP,pacific_ocean,southern_pacific,2002-05-25T06:00:00Z,,,G0097
data/processed/classification/D-DD/CLS_00009.png,CLS-IMG00009,D-DD,CS-SCS,0.99497,0.004191,0.99497,0.000818,2.1e-05,adjacent_class,25.0,8.5,D,2000023S15172,JO,SP,pacific_ocean,southern_pacific,2000-01-28T06:00:00Z,55.0,wellington,G0004
data/processed/classification/CS-SCS/CLS_02765.png,CLS-IMG02469,CS-SCS,VSCS,0.994518,4e-06,0.005442,0.994518,3.6e-05,adjacent_class,50.0,13.5,SCS,2024145N14087,REMAL,NI,north_indian_ocean,bay_of_bengal,2024-05-27T00:00:00Z,45.0,newdelhi,G0877
data/processed/classification/ESCS-SuCS/CLS_04794.png,CLS-IMG04333,ESCS-SuCS,VSCS,0.994224,7.9e-05,0.000337,0.994224,0.005361,adjacent_class,90.0,0.5,ESCS,2010169N13266,CELIA,EP,pacific_ocean,eastern_pacific,2010-06-24T03:00:00Z,,,G1426
