area,level,n,n_D-DD,n_CS-SCS,n_VSCS,n_ESCS-SuCS,accuracy,adjacent_accuracy,macro_f1,note
North Indian Ocean,region,106,53,28,21,4,0.6698113207547169,0.9528301886792453,0.6769324251456043,all metrics
Arabian Sea,subregion,42,19,9,10,4,0.6904761904761905,0.9047619047619048,0.6670147591200223,all metrics
Bay of Bengal,subregion,64,34,19,11,0,0.65625,0.984375,0.46071428571428574,macro F1 over classes present in this area is not comparable
South Indian Ocean,region,147,33,40,42,32,0.6054421768707483,0.9387755102040817,0.5944055944055944,all metrics
Pacific Ocean,region,414,98,122,127,67,0.6256038647342995,0.9758454106280193,0.6297196240396004,all metrics
Western Pacific,subregion,148,32,40,42,34,0.5945945945945946,0.9797297297297297,0.601318500422025,all metrics
Eastern Pacific,subregion,140,33,42,42,23,0.6571428571428571,0.9857142857142858,0.6486085343228201,all metrics
Southern Pacific,subregion,126,33,40,43,10,0.626984126984127,0.9603174603174603,0.6229871583870117,all metrics
basin EP,basin,140,33,42,42,23,0.6571428571428571,0.9857142857142858,,
basin NI,basin,106,53,28,21,4,0.6698113207547169,0.9528301886792453,,
basin SI,basin,147,33,40,42,32,0.6054421768707483,0.9387755102040817,,
basin SP,basin,126,33,40,43,10,0.626984126984127,0.9603174603174603,,
basin WP,basin,148,32,40,42,34,0.5945945945945946,0.9797297297297297,,
