image,actual,predicted,confidence,storm_id,region,basin,timestamp,error_type,image_id,subregion,cyclone_probability,intensity,difficulty,nature,wind_speed_kt,lifecycle_stage,cold_cloud_fraction,central_cold_cloud_fraction,ibtracs_system_entering_crop_next_72h,hours_until_system_in_crop
data/processed/no_cyclone/NONCYCLONE_03507.png,NO_CYCLONE,CYCLONE,0.999995,,north_indian_ocean,NI,2015-07-26T18:00:00Z,false_positive,IMG3092,arabian_sea,0.999995,,hard,,,,0.16204,0.41195,2015209N26072 UNNAMED (TS),18.0
data/processed/no_cyclone/NONCYCLONE_00486.png,NO_CYCLONE,CYCLONE,0.972837,,north_indian_ocean,NI,2022-12-16T12:00:00Z,false_positive,IMG3729,bay_of_bengal,0.972837,,hard,,,,0.10156,0.31876,,
data/processed/no_cyclone/NONCYCLONE_00106.png,NO_CYCLONE,CYCLONE,0.9456,,north_indian_ocean,NI,2013-11-04T00:00:00Z,false_positive,IMG2942,arabian_sea,0.9456,,moderate,,,,0.10629,0.12615,2013310N06066 UNNAMED (DS),48.0
data/processed/no_cyclone/NONCYCLONE_01715.png,NO_CYCLONE,CYCLONE,0.930877,,north_indian_ocean,NI,2002-05-09T18:00:00Z,false_positive,IMG2124,bay_of_bengal,0.930877,,hard,,,,0.08177,0.18432,2002129N08096 UNNAMED (TS),18.0
data/processed/no_cyclone/NONCYCLONE_01222.png,NO_CYCLONE,CYCLONE,0.928338,,north_indian_ocean,NI,2011-06-18T03:00:00Z,false_positive,IMG2796,arabian_sea,0.928338,,easy,,,,0.02241,0.02911,,
data/processed/no_cyclone/NONCYCLONE_02996.png,NO_CYCLONE,CYCLONE,0.913429,,north_indian_ocean,NI,2018-05-20T06:00:00Z,false_positive,IMG3304,arabian_sea,0.913429,,hard,,,,0.2164,0.3645,2018141N08059 MEKUNU (TS),24.0
data/processed/no_cyclone/NONCYCLONE_01289.png,NO_CYCLONE,CYCLONE,0.880596,,north_indian_ocean,NI,2015-11-06T12:00:00Z,false_positive,IMG3138,bay_of_bengal,0.880596,,hard,,,,0.25107,0.39757,2015312N11084 UNNAMED (TS),39.0
data/processed/no_cyclone/NONCYCLONE_01854.png,NO_CYCLONE,CYCLONE,0.871129,,north_indian_ocean,NI,2006-04-25T18:00:00Z,false_positive,IMG2425,arabian_sea,0.871129,,hard,,,,0.15372,0.30166,,
data/processed/no_cyclone/NONCYCLONE_01225.png,NO_CYCLONE,CYCLONE,0.839679,,north_indian_ocean,NI,2013-11-03T18:00:00Z,false_positive,IMG2941,bay_of_bengal,0.839679,,hard,,,,0.09448,0.24089,,
data/processed/no_cyclone/NONCYCLONE_01889.png,NO_CYCLONE,CYCLONE,0.793815,,north_indian_ocean,NI,2007-06-01T00:00:00Z,false_positive,IMG2510,arabian_sea,0.793815,,hard,,,,0.18922,0.32846,2007151N14072 GONU (TS),6.0
data/processed/no_cyclone/NONCYCLONE_02614.png,NO_CYCLONE,CYCLONE,0.733026,,north_indian_ocean,NI,2018-05-22T00:00:00Z,false_positive,IMG3306,bay_of_bengal,0.733026,,hard,,,,0.11924,0.21095,,
data/processed/cyclone/POS_1977.png,CYCLONE,NO_CYCLONE,0.999611,2025270N19086,north_indian_ocean,NI,2025-09-27T12:00:00Z,false_negative,IMG1959,bay_of_bengal,0.000389,weak,,TS,20.0,Mature / Peak,0.16237,0.2671,,
data/processed/cyclone/POS_1840.png,CYCLONE,NO_CYCLONE,0.993014,2019337N11072,north_indian_ocean,NI,2019-12-05T06:00:00Z,false_negative,IMG1647,arabian_sea,0.006986,medium,,TS,20.0,Mature / Peak,0.08806,0.02751,,
data/processed/cyclone/POS_1975.png,CYCLONE,NO_CYCLONE,0.990654,2025270N19086,north_indian_ocean,NI,2025-09-26T18:00:00Z,false_negative,IMG1958,bay_of_bengal,0.009346,weak,,TS,25.0,Developing,0.24903,0.25521,,
data/processed/cyclone/POS_1716.png,CYCLONE,NO_CYCLONE,0.989242,2017199N19086,north_indian_ocean,NI,2017-07-18T15:00:00Z,false_negative,IMG1475,bay_of_bengal,0.010758,weak,,TS,,Mature / Peak,0.27968,0.17923,,
data/processed/cyclone/PRS_0148.png,CYCLONE,NO_CYCLONE,0.981115,2003150N17119,pacific_ocean,WP,2003-05-30T06:00:00Z,false_negative,IMG0346,western_pacific,0.018885,medium,,TS,,,0.1724,0.16065,,
data/processed/cyclone/PRS_0575.png,CYCLONE,NO_CYCLONE,0.939697,2025231N19085,north_indian_ocean,NI,2025-08-18T21:00:00Z,false_negative,IMG1948,bay_of_bengal,0.060303,weak,,TS,,,0.21602,0.27633,,
data/processed/cyclone/POS_0303.png,CYCLONE,NO_CYCLONE,0.861479,2002355N04077,north_indian_ocean,NI,2002-12-25T09:00:00Z,false_negative,IMG0290,bay_of_bengal,0.138521,medium,,TS,35.0,Weakening / Dissipating,0.20978,0.23586,,
data/processed/cyclone/PRS_0686.png,CYCLONE,NO_CYCLONE,0.852047,2014141N16091,north_indian_ocean,NI,2014-05-22T18:00:00Z,false_negative,IMG1206,bay_of_bengal,0.147953,weak,,TS,25.0,,0.09869,0.16521,,
data/processed/cyclone/PRS_0672.png,CYCLONE,NO_CYCLONE,0.640567,2025229N17111,pacific_ocean,WP,2025-08-19T09:00:00Z,false_negative,IMG1949,western_pacific,0.359433,weak,,TS,,,0.18105,0.32243,,
data/processed/cyclone/POS_1628.png,CYCLONE,NO_CYCLONE,0.623314,2015355S16136,pacific_ocean,SP,2015-12-30T18:00:00Z,false_negative,IMG1380,southern_pacific,0.376686,weak,,TS,20.0,Weakening / Dissipating,0.02065,0.00444,,
data/processed/cyclone/PRS_0537.png,CYCLONE,NO_CYCLONE,0.619884,2024329N04089,north_indian_ocean,NI,2024-11-23T18:00:00Z,false_negative,IMG1908,bay_of_bengal,0.380116,medium,,TS,25.0,,0.37693,0.40041,,
data/processed/cyclone/PRS_0210.png,CYCLONE,NO_CYCLONE,0.572113,2004248N14156,pacific_ocean,WP,2004-09-07T21:00:00Z,false_negative,IMG0443,western_pacific,0.427887,medium,,TS,25.0,,0.02782,0.03024,,
